date,max_temp,min_temp
2026-03-04,37.2,22.9
2026-03-05,36.4,24.1
2026-03-06,37.9,20.0
2026-03-07,39.4,21.2
2026-03-08,39.7,20.9
2026-03-09,38.8,21.7
2026-03-10,36.4,25.3
